posteam,epa_per_pass,epa_per_rush,def_epa_per_pass,def_epa_per_rush
ARI,-0.02755732153636741,-0.06874323008350318,0.0749054952744837,-0.04318172409295278
ATL,0.025123633208020284,0.016903219162907875,0.13836497210197463,0.018229192770233514
BAL,0.04094578315352055,0.05753652561823058,0.07506482087851446,-0.13313245077720964
BUF,0.21043962996420573,-0.103069685967634,0.012008846560849828,-0.12827726580442445
CAR,-0.1466707391031701,0.016139422663346607,0.026366950097166886,-0.07639820792425993
CHI,-0.0038235975496727108,0.04443253415558959,0.2165484501887131,-0.007081596460623829
CIN,0.18598899451222972,-0.033116802008814145,-0.009893489575049654,-0.020371719973059747
CLE,0.04541300103803289,8.081624719618156e-4,0.046430231034201554,0.08202175023131772
DAL,0.07401725378670439,0.03394768289770362,-0.10959038968032622,-0.10449872686767285
DEN,-0.021609187687390837,-0.18428367550104052,-0.07486440799975834,-0.05375084148880756
DET,0.14148071118835176,-0.05322070397309661,0.16197650196956315,0.00629840705287548
GB,0.026408260227283646,-8.949701164627829e-4,0.041993981471389975,0.07603792181638892
HOU,-0.17618893763372484,-0.15293900935823646,0.07242893011250633,-0.022799921808890462
IND,-0.10748433300244549,-0.19653140370871017,0.027756943992582654,-0.07359359176826522
JAX,0.1488370208793421,-0.10533846290979351,0.11046240505647573,-0.08431715169193461
KC,0.28906629315033894,-0.019372769975590374,0.08491582610511922,-0.0753124757935165
LA,-0.10282335335572851,-0.12912153418558356,0.1283182469523126,-0.13273105778204441
LAC,0.03213158640823465,-0.07417889888493637,0.06958812244464506,0.02720974090337798
LV,0.08044633637763933,-0.045383346676475554,0.16779294603134576,-0.12683457406618612
MIA,0.15998601902803036,-0.09418824936992451,0.0835414765204122,-0.09111280719589966
MIN,0.07021036324776433,-0.10961562828859563,0.0820340476982674,-0.09093834255118867
NE,-0.028865877904659172,-0.06972860519494092,-0.11320013280507785,-0.097283842125372
NO,0.03911899627672614,-0.112139469522216,0.0710295185586824,-0.0879916573867922
NYG,0.0711724798850092,-0.032003091412910765,0.10550627541936088,0.05032271577465897
NYJ,-0.057678713376701704,-0.04659243294347503,-0.04666950551975076,-0.0746172700313286
PHI,0.16388041564491,0.1202590867155802,-0.11275525351492928,1.449788646038367e-4
PIT,-0.026105231190912157,-7.108516638254514e-5,0.08461107679384741,-0.03609406237103436
SEA,0.13249105041962395,-0.07765020179695593,0.09955889634717126,0.015477039440348804
SF,0.15879830785349427,-0.05957484248199501,-0.09209089853579136,-0.13574077502607051
TB,0.05392346282887049,-0.20095552347104814,0.005290376556010503,-0.04032944613458779
TEN,0.035441950071976196,-0.11094079178403167,0.11035081065272781,-0.16280168530634756
WAS,-0.04434528396404791,-0.048955911909211045,-0.004511127713133925,-0.13520018757998375
